STATION,Official Lat they sent,Official Lon they sent,Our Google Lat ,Our Google Lon,Distance between both
MKE,42.95,-87.9,42.94764,-87.90295,0.355516058
MSP,44.88,-93.22,44.88123,-93.20311,1.337919094
MOT,48.27,-101.28,48.25637,-101.2916,1.74272738
NKX,32.87,-117.13,32.87015,-117.1441,1.319000607
MSO,46.93,-114.1,46.91882,-114.0837,1.752887796
MOB,30.68,-88.25,30.68109,-88.24475,0.516268963
MLI,41.43,-90.5,41.45399,-90.50655,2.722995206
MGM,32.3,-86.4,32.30457,-86.39104,0.984145294
YUL,45.47,-73.75,45.45764,-73.74969,1.374533006
YMD,76.23,-119.33,76.25,-119.5,5.015928384
NUQ,37.42,-122.05,37.38605,-122.0839,4.815563941
MLH,,,47.75084,7.335888,
MKG,43.17,-86.25,43.16945,-86.23805,0.970877129
NTE,,,47.21837,-1.553621,
BNA,36.12,-86.68,36.13477,-86.66805,1.962601273
YNA,50.18,-61.82,50.19016,-61.78897,2.480816356
NLN,,,57.65417,136.1714,
EWR,40.7,-74.17,40.68987,-74.17821,1.322211979
SWF,,,41.49947,-74.10155,
MSY,29.98,-90.25,29.98422,-90.25597,0.742085893
NBG,29.83,-90.03,29.95107,-90.07153,14.04469378
JFK,40.65,-73.78,40.64377,-73.78199,0.712759603
LGA,40.77,-73.9,40.77392,-73.872,2.397762023
IAG,,,43.10913,-78.9496,
NKA,,,59.81194,-151.6105,
NTM,,,99,99,
YNI,53.2,-70.9,53.19722,-70.90833,0.635082
OME,64.5,-165.43,64.50993,-165.4435,1.280125095
OFK,41.98,-97.43,41.98555,-97.435,0.742995447
NGU,36.93,-76.28,36.85077,-76.28587,8.825591342
ORF,36.9,-76.2,36.89867,-76.20576,0.533821371
YVQ,65.28,-126.8,65.28139,-126.7988,0.16529907
NSK,,,55.01667,82.93333,
YYB,46.35,-79.43,46.36305,-79.42471,1.506921106
OTH,43.42,-124.25,43.41633,-124.2467,0.484842162
NZY,32.7,-117.2,42.88645,-78.87837,3517.842051
LBF,41.13,-100.68,41.13276,-100.6983,1.563999122
NUE,,,49.49712,11.07981,
GOH,,,64.19171,-51.67435,
OAK,,,37.71071,-122.2144,
OKH,,,59.36666,143.25,
OKC,35.4,-97.6,35.46756,-97.51643,10.66594233
OLM,46.97,-122.9,46.9748,-122.8976,0.565440604
OMA,41.3,-95.9,41.30249,-95.89359,0.602957158
OLA,,,63.7,9.616667,
MCO,,,28.43116,-81.30808,
FBU,,,59.91387,10.75224,
OSD,,,63.17668,14.63607,
YOW,,,45.31921,-75.66917,
PAH,37.07,-88.77,37.06125,-88.76744,0.998720099
PAR,,,48.87149,2.330281,
NHK,38.28,-76.4,38.2781,-76.42289,2.009052707
YPE,56.23,-117.43,56.23181,-117.4436,0.864484934
PDT,45.68,-118.85,45.69536,-118.8414,1.833438799
NPA,30.35,-87.32,30.35002,-87.29227,2.661139693
YYF,49.47,-119.6,49.46355,-119.6022,0.735902151
PIA,40.67,-89.68,40.66417,-89.69305,1.277821081
PHL,39.88,-75.25,39.87497,-75.24907,0.56467656
PHX,33.43,-111.98,33.43653,-112.0073,2.632436843
PIT,40.5,-80.22,40.496,-80.25669,3.134079374
PIH,42.92,-112.6,42.90972,-112.5958,1.192016722
PGN,,,56.85,159.8,
PHS,,,36.01902,129.3435,
NTD,34.12,-119.12,34.08556,-119.0609,6.651187408
POK,,,59.48109,30.99979,
BPT,29.95,-94.02,29.95083,-94.02069,0.114127361
PWM,43.65,-70.3,43.64611,-70.30861,0.81649172
PDX,45.6,-122.6,45.58924,-122.5939,1.287607642
PSY,,,42.65411,130.8063,
POU,,,41.6275,-73.88416,
POZ,,,52.42083,16.82611,
PRG,,,50.10179,14.26318,
PBZ,,,53.19472,50.21143,
PRC,34.65,-112.42,34.65445,-112.4194,0.497771606
YPA,53.22,-105.68,53.21812,-105.6733,0.492758272
YXS,53.88,-122.68,53.88788,-122.6724,1.008352713
YPR,54.3,-130.43,54.31504,-130.3208,7.277526935
PVD,41.73,-71.43,41.72581,-71.43675,0.728345177
PUB,38.28,-104.52,38.28375,-104.4954,2.189772995
NYG,38.5,-77.3,38.50167,-77.30556,0.517658232
YQB,46.8,-71.38,46.7923,-71.38367,0.900819296
UIL,47.95,-124.55,47.93571,-124.5618,1.815400215
RDU,35.87,-78.78,35.87672,-78.79306,1.394375273
RAP,44.05,-103.07,44.03802,-103.0609,1.516973367
RDM,44.25,-121.15,44.2538,-121.1509,0.427899786
YQR,50.43,-104.67,50.43335,-104.6556,1.084087309
RNO,39.5,-119.78,39.50583,-119.7754,0.758847566
YRB,74.72,-94.98,74.71703,-94.96945,0.452247003
RIC,37.5,-77.33,37.50746,-77.33369,0.891337785
GIG,,,-22.81341,-43.24942,
SDU,,,-22.91114,-43.16488,
RIV,,,33.89396,-117.2542,
ROA,37.32,-79.97,37.32528,-79.97528,0.750056612
RST,43.92,-92.5,43.91123,-92.49547,1.040550417
ROC,43.13,-77.67,43.12799,-77.6661,0.387139917
RFD,42.2,-89.1,42.19656,-89.10378,0.49312121
RKS,41.6,-109.07,41.59483,-109.065,0.708102103
ROM,,,41.89292,12.48252,
ROW,33.3,-104.53,33.29934,-104.5247,0.493258625
RNP,,,44.36307,135.8151,
RSL,38.87,-98.82,38.87624,-98.8094,1.150296797
WSA,43.93,-60.02,43.93372,-59.91491,8.425413009
YSY,72,-125.27,71.99355,-125.242,1.200866294
SAC,38.52,-121.5,38.51517,-121.5002,0.537001587
YSJ,,,45.32914,-65.89036,
SLE,44.92,-123,44.90954,-123.0025,1.179143529
SBY,,,38.34028,-75.51028,
SLC,40.78,-111.95,40.78559,-111.9807,2.656840901
