Redmond , OR	RDM	1943-1945 1948-2010
Regina , SK	YQR	1953-2013
Reno , NV	RNO	1943-1945 1949-2013
Resolute , NT	YRB	1952-2010
Richmond , VA	RIC	1943-1945 1948-2013
Rio de Janeiro / Galeao, Brazil	GIG	1973-2013
Rio - Santos Dumont , Brazil	SDU	1990-2009
Riverside , CA	RIV	1936-2013
Roanoke , VA	ROA	1948-2013
Rochester , MN	RST	1948-2013
Rochester , NY	ROC	1948-2013
Rockford , IL	RFD	1951-1954 1959-2013
Rock Springs , WY	RKS	1948-1981 1984-2013
Rome , Italy	ROM	1974-2013
Roswell , NM	ROW	1943-1966 1973-1988 1990-1993 1995-2013
Rudnaya Pristan , Russia	RNP	1966-1976 1978-2010
Russell , KS	RSL	1943-1945 1950-2013
Sable Island , NS	WSA	1956-1991 1995 1999-2013
Sachs Harbour , NT	YSY	1956-1986
Sacramento , CA	SAC	1948-1993 1995-2013
Saint John , NB	YSJ	1982-2002 2005-2010
Salem , OR	SLE	1948-2013
Salisbury , MD	SBY	1949-1958 19601961 1968-1972 1974-2009
Salt Lake City , UT	SLC	1948-2013
San Angelo , TX	SJT	1949-1952 1954-2013
San Antonio , TX	SAT	1947-2013
San Diego , CA	SAN	1948-2013
Sandspit , BC	YZP	1948-2013
San Francisco , CA	SFO	1948-2013
San Jose , CA	SJC	1973-1980 1998-2011 2013
San Juan , PR	JSJ	1955-2013
Santa Barbara , CA	SBA	1949-1954 1957-1964 1973-1986 1993-2013
Santa Cruz , Brazil	SCZ	1975-1976 1990-1997 2008-2012
Saranac Lake , NY	SLK	1999-2000 2002-2013
Sault Ste. Marie , MI	ANJ	1948-2013
Savannah , GA	SAV	1948-2013
Schefferville , PQ	YKL	1953-2010
Scottsbluff , NE	BFF	1943-1944 1948-2013
Scovorodino , Russia	SVD	1966-1986 1989-1996 1998-2010
Seattle - Tacoma , WA	SEA	1948-2013
Seoul , Korea	SEL	1965-2013
Sept-Iles , PQ	YZV	1953-2010
Shanghai , China	SNH	1989-2013
Shannon , Ireland	SNN	1973-2013
Sheridan , WY	SHR	1940-1953 1965-1990 1997-2013
Shreveport , LA	SHV	1948-2013
Sioux City , IA	SUX	1943-1945 1948-2013
Sioux Falls , SD	FSD	1943-1945 1948-2013
Sioux Lookout , ON	YXL	1953-2013
Sletnes , Norway	SNS	1974-2000 2003-2013
Smidovich , Russia	SVC	1966-1996 1999-2010
Sodankyla , Finland	SOT	1974-2000
South Bend , IN	SBN	1948-1964 1969-2013
Sovetskaya Gavan , Russia	SVS	1966-2010
Spokane , WA	GEG	1942-1944 1948-2013
Springfield , IL	SPI	1948-2013
Springfield , MO	SGF	1948-2013
